Title,Abstract,Authors,PublicationDate,DOI,Source
Anti-metabotropic glutamate receptor 5 encephalitis: Five case reports and literature review.,"OBJECTIVE: To describe the clinical and radiological characteristics of anti-metabotropic glutamate receptor 5 (mGluR5) encephalitis. METHODS: We reviewed the clinical data of five patients with anti-mGluR5 encephalitis, and performed a literature review. RESULTS: The five cases included a 52-year-old man who developed a biphasic course of anti-mGluR5 encephalitis after herpes simplex encephalitis, a 22-year-old woman who showed bilateral basal ganglia lesions on brain magnetic resonance imaging (MRI), and a 36-year-old man with mixed aphasia and generalized tonic-clonic seizures, a 51-year-old man presented with personality changes, hallucinations, delusions, sleeping disorders and a 58-year-old man with short-term memory deficits and absence seizures.. There are 16 reported cases of anti-mGluR5 encephalitis worldwide. Of all 21 patients, with a median onset age of 35 years old, the main neurological symptoms were cognitive impairment (85.7%, 18/21), psychiatric or behavior problems (76.2%, 16/21), seizures (57.1%, 12/21), sleeping disorders (52.4%, 11/21), different degrees of decreased consciousness (42.9%, 9/21), and movement disorders (23.8%, 5/21). Brain MRI was normal in 11 of 21 patients. Lesions of the limbic lobes were presented in 5 patients, while involvement of other extralimbic regions was also reported. Seven of 21 (33.3%) cases were combined with tumors. Elevated white blood cell counts or specific oligoclonal IgG bands in the cerebrospinal fluid were found in 18 of 21 patients, with marked improvements observed after immunotherapy. DISCUSSION: Patients with anti-mGluR5 encephalitis typically present with diffuse, rather than purely limbic, encephalitis. Anti-mGluR5 encephalitis can be triggered by herpes simplex encephalitis. The risk of a combined tumor may be reduced in anti-mGluR5 encephalitis patients.","Chen S, Ren H, Lin F, Fan S, Cao Y, Zhao W, Guan H",2023 May,10.1002/brb3.3003 e3003,PubMed
Debut with psychotic symptoms of Hashimoto encephalopathy: A case report.,"Hashimoto's encephalopathy is a rare disease, first reported in 1966, with a prevalence of 2.1 in 1000 inhabitants. We present the case of a 42- year- old woman, with no relevant medical history, who suddenly started having symptoms of altered consciousness, visual hallucinations and de-lusions. Laboratory tests showed anti- thyroperoxidase antibodies greater than 600 U/ml, thy-roxin 0.93 U/ml, and thyroid stimulating hormone 1.60 U/ml. Magnetic resonance imaging showed bilateral subcortical focal lesions with a nonspecific demyelinating appearance. The electroencephalogram was nonspecific. The diagnosis of Hashimoto encephalopathy was made, and symptoms remitted after treatment with steroids. This article highlights the importance of conducting a comprehensive evaluation of patients with atypical psychiatric symptoms and a thorough differential diagnosis.","Ortiz Arce AD, Sanchez-Rueda H",2022 Oct 18,10.5867/medwave.2022.09.2566,PubMed
Psychosis Associated with Acquired Porencephaly-Cause or Incidental Finding? Case Report and Review of Literature.,"Porencephaly, a rare disease affecting the central nervous system, is represented by a cerebrospinal fluid-filled cavity in the brain. There are two types of porencephalic cavities: congenital and acquired. Porencephaly is mainly associated with neurological and developmental consequences. Associated psychotic symptoms were reported in a few cases, and due to this fact, there is a knowledge gap regarding the diagnostic and therapeutic approach to such cases. We present the case of a 32-year-old male diagnosed with a psychotic disorder associated with acquired porencephaly. The porencephalic cystic lesions were most probably due to a traumatic brain injury at the age of 6 years old. The psychotic symptomatology consisted of interoceptive/visceral hallucinations, delusions with persecutory and religious/magic content and disorganised behaviour. The porencephalic cavity was confirmed by a computed tomography scan. The patient was treated over the course of time with risperidone, olanzapine and zuclopenthixol. The existing literature regarding other cases of psychosis associated with porencephaly is discussed. In conclusion, even though porencephaly was asymptomatic for a long period of time, we argue that there is a causal relationship between the chronic psychotic symptoms and the porencephalic cyst in our case.","Puiu MG, Dionisie V, Filip AC, Manea M",2022 Apr 24,10.3390/medicina58050586 586,PubMed
Anti-NMDA receptor encephalitis in older adults: A systematic review of case reports.,"OBJECTIVE: To ascertain the clinical characteristics of anti-NMDA receptor encephalitis (NMDARE) in older patients. METHOD: A systematic literature review using PubMed and Scopus of all published case reports of NMDARE was undertaken, from database inception to June 2020. From this, cases reporting on patients older than 65 years of age and whose diagnosis was confirmed by the presence of anti-NMDAR antibodies in CSF were selected. RESULTS: 23 case reports fulfilling the study's criteria were found. Median age was 70.1 years (range 65-84), fourteen were female (60.9%), and mostly presented with acute behavioral and cognitive changes (95.7%). Atypical psychosis occurred in eleven patients (47.8%) with a sudden onset and fluctuating clinical pattern of delusions (39.1%), hallucinations (30.4%), and motility disturbances (34.8%) including catatonia (17.4%). Nine patients presented with seizures (39.1%). Pleocytosis in CSF (>5 WBC) was described in twelve cases (52.2%). Eleven cases (47.8%) had abnormal brain magnetic resonance imaging (MRI) scans with limbic inflammatory lesions. Thirteen patients had an abnormal EEG (56.5%). CONCLUSION: NMDARE should be included in the differential diagnosis of older patients who present with new psychiatric episodes, especially when characterized by sudden onset psychotic polymorphic symptomatology, fluctuating course with marked cognitive decline, and with catatonic features.","Gine-Serven E, Serra-Mestres J, Martinez-Ramirez M, Boix-Quintana E, Davi-Loscos E, Guanyabens N, Casado V, Muriana D, Torres-Rivas C, Cuevas-Esteban J, Labad J",2022 Jan-Feb,S0163-8343(21)00162-6 [pii] 10.1016/j.genhosppsych.2021.11.006,PubMed
Atypical Charles Bonnet syndrome secondary to frontal meningioma: a case report.,"BACKGROUND: Charles Bonnet Syndrome (CBS) is a rare clinical entity that is classically composed of visual hallucinations in the context of an altered optic pathway with preservation of reality judgment. This case aims to present the association of visual hallucinations with complex alterations of the nervous structures adjacent to the visual pathway and an atypical clinical presentation, thus explaining the possible mechanisms involved in the generation of these symptoms. CASE PRESENTATION: A 43-year-old man presents seeking care due to visual hallucinations with partial preservation of reality judgment and symptoms compatible with a major depressive disorder, including irritability and diminished hygiene habits. He has a history of complete gradual loss of vision and hyposmia. Due to poor treatment response during hospitalization, an MRI was obtained, which showed a frontal tumor lesion with meningioma characteristics adjacent to the olfactory groove and compression of the optic chiasm. He underwent surgical resection of the lesion, which remitted the psychotic symptoms, but preserving the visual limitation and depressive symptoms. CONCLUSIONS: The presence of visual hallucinations, without other psychotic features as delusions, is a focus of attention for basic structural pathologies in the central nervous system. Affection at any level of the visual pathway can cause CBS. When finding atypical symptoms, a more in-depth evaluation should be made to allow optimization of the diagnosis and treatment.","Diana LL, Carmona-Huerta J, Patino JG, Alejandro AL, Sol DA",2021 Jul 22,10.1186/s12888-021-03360-6 365,PubMed
Nonalcoholic Wernicke-Korsakoff Syndrome Resulting From Psychosis.,"Wernicke encephalopathy (WE) results from thiamine deficiency. If undiagnosed or inadequately treated, WE evolves into Korsakoff syndrome (KS). We herein report a case of nonalcoholic Wernicke-Korsakoff syndrome (WKS) that resulted from malnutrition due to psychosis in a 42-years-old male patient. Thiamine deficiency was secondary to severe malnourishment due to poisoning delusions and daily life disorganization in a patient with previously unrecognized schizophrenia. Besides the presence of WE's classic triad of signs, brain magnetic resonance imaging showed also typical thalamic lesions. Furthermore, the patient also presented anterograde and retrograde amnesia, executive dysfunction, and confabulations, compatible with KS being already present. Intravenous treatment with thiamine was given for 37 days. Improvement in cognitive functions and brain imaging alterations was evident. Nevertheless, persistent WKS deficits were present. This case highlights the multiplicity of etiologies of WKS, namely, psychiatric, and its debilitating consequences if not promptly recognized and treated.","Alves Pereira de Carvalho Saraiva R, Goncalves M, Sereijo C, Mendes T, Kamyar RB, Abreu M, Coentre R",2021 Mar 1,10.1097/NMD.0000000000001287,PubMed
Cowden syndrome complicated by schizophrenia: A first clinical report.,"Patients with Cowden syndrome exhibit mucocutaneous lesions, hamartomatous polyposis of the gastrointestinal tract, and macrocephaly, often complicated by malignant tumors, such as breast, thyroid, and uterine cancers. Autism spectrum and epilepsy have been known as neuropsychiatric symptoms associated with Cowden syndrome; however, to the best of our knowledge, there is no report on cases complicated by schizophrenia. Here, we report a first case of Cowden syndrome complicated by schizophrenia. A 49-year-old Japanese woman started experiencing auditory hallucinations in her teens. She had left breast cancer at the age of 34 years, and right breast cancer at the age of 37 years, all of which were surgically treated. She was also being treated by oral medications for Hashimoto's disease. On consulting her previous doctor for abnormal uterine bleeding that lasted for a year, she was diagnosed with endometrial cancer. However, immediately before surgery, her auditory hallucinations and paranoid delusions became severe, and she was referred to our hospital for detailed examination and treatment. No abnormalities were found on head MRI, and she was diagnosed with schizophrenia on the basis of neuropsychiatric examination findings. After her psychiatric symptoms were controlled by 2 mg of risperidone, she underwent surgery for endometrial cancer. Although there was no apparent family history, physical findings including macrocephaly and papillomatous skin lesions together with her past medical history of multiple malignant tumors suggested Cowden syndrome. Postoperatively, genetic testing revealed a pathogenic variant c.655C > T; p. Gln219* (NM_000314.4) in PTEN, leading to the confirmation of the diagnosis of Cowden syndrome.","Kobayashi Y, Takeda T, Kunitomi H, Ueki A, Misu K, Kowashi A, Takahashi T, Anko M, Watanabe K, Masuda K, Uchida T, Tominaga E, Banno K, Kosaki K, Aoki D",2020 Aug,S1769-7212(20)30188-9 [pii] 10.1016/j.ejmg.2020.103959,PubMed
"Dreamy State, Delusions, Audiovisual Hallucinations, and Metamorphopsia in a Lesional Lateral Temporal Lobe Epilepsy Followed by Ipsilateral Hippocampal Sclerosis.","We report a 65-year-old man who was diagnosed with focal status epilepticus generating a dreamy state, delusions with anxiety, complex audiovisual hallucinations, elementary auditory hallucinations, and metamorphopsia with a growing large lateral temporal lobe lesion. After administrating anti-seizure drugs, all the symptoms disappeared, and brain magnetic resonance imaging revealed ipsilateral hippocampal sclerosis. To the best of our knowledge, this is the first report to present all the symptoms in one epilepsy case. On the basis of semiology, electroencephalography, and brain magnetic resonance imaging, we speculated that epileptic activities that have originated from the lateral lesion might have propagated to the ipsilateral mesial temporal lobe, causing hippocampal sclerosis.","Hatano K, Shimizu T, Matsumoto H, Suzuki I, Hashida H",2019 May-Aug,10.1159/000501475,PubMed
Delusional parasitosis as presenting symptom of occipital lobe cerebrovascular accident.,"Delusional parasitosis manifests as a fixed, false belief that an individual is infested by living organisms. Primary delusional parasitosis is a psychiatric disorder with the delusion as an isolated manifestation, whereas secondary delusional parasitosis is a delusion occurring secondary to a psychiatric disorder, substance use, or medical illness. A 62-year-old woman with no psychiatric history presented to the Emergency Department with two to three months of ""whole body itching"" and seeing small insects crawling on her skin and in her hair. Exam of her skin and scalp was notable for no appreciable lesions, rashes, excoriations, or insects. Her neurologic exam was notable for full visual fields, and no localizing deficits. A non-contrast head CT demonstrated a nonspecific heterogeneous low-attenuation lesion within the medial right occipital lobe, and a follow up MRI confirmed a right posterior cerebral artery distribution subacute infarction. She was admitted for two days, and ultimately was discharged on aspirin and atorvastatin for secondary prevention. An emergency physician should remain vigilant in his/her assessment of patients with seemingly psychiatric symptoms, in particular elderly patients with no known psychiatric illnesses. Neuroimaging should be amongst studies considered in the evaluation of elderly patients presenting with new onset psychiatric complaints.","Haas NL, Nicholson A, Haas MRC",2019 Oct,S0735-6757(19)30498-X [pii] 10.1016/j.ajem.2019.158368,PubMed
Precuneus and psychiatric manifestations: Novel neurobiological formulations through lesion based connectivity mapping of psychopathology.,"Lesion-based investigations of psychopathology have preceded contemporary network-neuroscience initiatives. However, brain-lesions detected in routine psychiatric practice are often considered incidental and therefore ignored. Here, we illustrate a strategy to combine individual subject-level lesion information with open-source normative functional-connectomics data to make putative, neuroscience-informed symptom interpretation. Specifically, we report a patient with left precuneus granulomatous lesion and seizures followed by two distinct symptoms - kinetopsia and delusions of nihilism and guilt - which had a differential treatment response. The lesion-based brain-mapping approach could identify correlated (default-mode) and anti-correlated (temporo-parieto-occipital) networks, which enabled a neurobiological formulation of these diverse clinical manifestations.","Narasimha VL, Basavaraju R, Mangalore S, Mehta UM",2019 Jan,S1876-2018(18)30955-9 [pii] 10.1016/j.ajp.2018.12.018,PubMed
